,BEARING,mean_iwp,std_iwp,freq_iwp,mean_ted,std_ted,freq_ted,mean_species,std_species,freq_species,in_out,island,species,population_status,hum_pop,distant_hum_pop,group
60,230,10931.29021,3919.8979,61433,2.085668619,2.351059669,12195,8.255638028,11.0261365,517239,0,AGR,CORAL,0,0,0,8
61,240,10834.32965,1934.404468,56892,1.83168186,1.952105374,12245,8.051320854,9.059270146,498006,0,AGR,CORAL,0,0,0,8
62,250,11346.91045,2038.532597,54319,1.504489706,1.634907127,12442,9.72834932,8.531504064,497601,0,AGR,CORAL,0,0,0,8
63,260,12022.37552,2296.676938,52762,1.269747526,1.404036118,12837,11.80775041,8.869679789,496269,0,AGR,CORAL,0,0,0,8
64,270,12930.96933,2456.206358,52621,1.108570985,1.282979199,13988,13.47699642,9.434413621,495891,0,AGR,CORAL,0,0,0,8
65,280,14591.63705,4010.444637,54353,1.067835215,1.241646727,16430,15.41545341,10.99391632,509166,0,AGR,CORAL,0,0,0,8
66,290,18083.12454,7395.342561,56892,0.970436393,1.19062383,22393,17.36033335,11.89628993,538551,0,AGR,CORAL,0,0,0,8
67,300,25101.31709,12692.79291,60806,0.772352669,1.090486298,29786,19.1543118,12.22936189,583164,0,AGR,CORAL,0,0,0,8
68,310,36519.38545,21176.68436,67437,0.575910712,0.956327306,35849,20.99504689,12.83216884,613098,1,AGR,CORAL,0,0,0,8
69,320,48551.80204,28702.85347,74733,0.418543627,0.831144616,39794,21.63167985,13.14361518,656865,1,AGR,CORAL,0,0,0,8
70,330,60950.14842,35627.96901,79415,0.352989783,0.806667407,37970,21.54128942,13.33733579,677205,1,AGR,CORAL,0,0,0,8
71,340,72405.93147,40852.67246,82556,0.277937046,0.592403307,33259,21.71041762,13.01421574,631584,1,AGR,CORAL,0,0,0,8
72,350,83646.67176,41030.10357,83220,0.254617637,0.450867307,31626,21.17187377,12.85717612,630576,1,AGR,CORAL,0,0,0,8
73,0,95375.64465,35054.60735,81189,0.283801906,0.483767745,29593,28.3694889,21.11611354,578934,1,AGR,MACROALGAE,0,0,0,8
74,10,103856.0343,25432.7515,79434,0.355841592,0.538628748,25983,29.4965732,20.46057723,576540,1,AGR,MACROALGAE,0,0,0,8
75,20,110612.665,15241.50589,75313,0.388763301,0.56361147,23042,30.66116241,20.19354002,540153,1,AGR,MACROALGAE,0,0,0,8
76,30,114914.8809,7975.233163,71162,0.397287187,0.571838606,21277,30.87158654,20.31706342,513234,1,AGR,MACROALGAE,0,0,0,8
77,40,116618.6369,4182.730973,66904,0.405080002,0.568988387,19476,29.49564032,20.6014368,503361,1,AGR,MACROALGAE,0,0,0,8
78,50,116360.1908,2924.752825,62511,0.383421166,0.538730359,18539,28.41627096,21.45595055,486171,1,AGR,MACROALGAE,0,0,0,8
79,60,115418.0807,4370.688457,59826,0.353891821,0.499977667,17619,26.80796073,22.04359993,456552,1,AGR,MACROALGAE,0,0,0,8
80,70,114097.4589,5786.39534,58712,0.315394427,0.447140693,16679,25.05521018,22.3480523,435816,0,AGR,MACROALGAE,0,0,0,8
81,80,112519.0446,6864.850873,58920,0.276256835,0.390926461,16343,24.79836661,22.07827989,429930,0,AGR,MACROALGAE,0,0,0,8
82,90,110739.6491,8622.207951,59381,0.239182829,0.334693206,15645,22.47331325,21.20336421,426258,0,AGR,MACROALGAE,0,0,0,8
83,100,108324.5905,10901.93552,61939,0.209006876,0.299567903,15498,19.9900432,20.84651017,430857,0,AGR,MACROALGAE,0,0,0,8
84,110,105556.2616,11966.79415,65697,0.197437499,0.275452416,15279,18.21692637,20.52612028,443736,0,AGR,MACROALGAE,0,0,0,8
85,120,100878.4736,16546.65049,69125,0.220939176,0.276081666,14564,16.83670251,19.8874785,448758,0,AGR,MACROALGAE,0,0,0,8
86,130,95229.63994,20568.84995,73676,0.266368532,0.292316562,14283,14.68522857,18.63952826,478665,0,AGR,MACROALGAE,0,0,0,8
87,140,87120.93579,26843.45972,78241,0.309385656,0.325472906,13948,12.78496412,17.36642443,533268,0,AGR,MACROALGAE,0,0,0,8
88,150,76157.51585,32880.66005,82709,0.346339284,0.335390064,12827,11.19182151,16.06592451,589059,0,AGR,MACROALGAE,0,0,0,8
89,160,63218.36796,37704.82194,84225,0.385886119,0.323563354,11745,9.234196421,14.76360122,649557,0,AGR,MACROALGAE,0,0,0,8
90,170,48226.13464,39713.1328,85966,0.529698201,0.730169511,11259,7.726925825,13.75307861,713070,0,AGR,MACROALGAE,0,0,0,8
91,180,35483.17851,35068.73923,87328,1.193665151,2.00535078,11709,6.950842361,13.34525534,723510,0,AGR,MACROALGAE,0,0,0,8
92,190,24551.95438,25109.38338,84102,1.855651672,2.492606938,12695,7.340205619,14.95147734,704772,0,AGR,MACROALGAE,0,0,0,8
93,200,18190.93368,16440.5232,78551,2.085289633,2.666381684,12561,8.262522811,16.54044976,676278,0,AGR,MACROALGAE,0,0,0,8
94,210,14170.95489,11135.06805,73355,2.173043532,2.631762031,12640,9.145933651,18.14494855,623862,0,AGR,MACROALGAE,0,0,0,8
95,220,11993.35647,6436.809402,67201,2.219862741,2.589668584,12383,9.941504009,18.89248969,554760,0,AGR,MACROALGAE,0,0,0,8
96,230,10931.29021,3919.8979,61433,2.085668619,2.351059669,12195,10.74241714,19.46003253,517239,0,AGR,MACROALGAE,0,0,0,8
97,240,10834.32965,1934.404468,56892,1.83168186,1.952105374,12245,12.54581563,20.48231517,498006,0,AGR,MACROALGAE,0,0,0,8
98,250,11346.91045,2038.532597,54319,1.504489706,1.634907127,12442,14.03676998,22.10518697,497601,0,AGR,MACROALGAE,0,0,0,8
